external_id,name,bopomofo,pinyin,meaning,synonyms,antonyms,memo
962,"大名鼎鼎","ㄉㄚˋ ㄇㄧㄥˊ ㄉㄧㄥˇ ㄉㄧㄥˇ","dà míng dǐng dǐng","形容人的名氣聲望很大。","名揚四海、名滿天下、名聞遐邇、赫赫有名、舉世聞名","不見經傳、沒沒無聞、無名小卒",
1083,"大同小異","ㄒㄧㄠˇ ㄧˋ ㄉㄚˋ ㄊㄨㄥˊ","xiǎo yì dà tóng","形容事物略有差異，但大體相同。","相去無幾","大相逕庭、天差地遠、天壤之別、天懸地隔、截然不同",
861,"大驚小怪","ㄉㄚˋ ㄐㄧㄥ ㄒㄧㄠˇ ㄍㄨㄞˋ","dà jīng xiǎo guài","形容為一些不足為奇的小事而過分聲張、驚怪。","少見多怪、失驚打怪、蜀犬吠日、粵犬吠雪","見怪不怪「大驚小怪」及「少見多怪」都有對都事物表現了過份驚訝的意思。「大驚小怪」側重於因反應過度而驚怪；「少見多怪」特指對平常的事物也覺得驚訝，側重於因見聞狹隘而驚怪。大驚小怪少見多怪辨似例句○ㄨ看到母親今天化了妝，父親一副～的樣子，我忍不住笑了出來。
ㄨ○小明真是～，連蟒蛇都沒見過。",
156,"大器晚成","ㄨㄢˇ ㄔㄥˊ ㄉㄚˋ ㄑㄧˋ","wǎn chéng dà qì","比喻卓越的人才往往成就較晚。","","小時了了",
971,"大智若愚","ㄉㄚˋ ㄓˋ ㄖㄨˊ ㄩˊ","dà zhì rú yú","表示具有極高智慧的人，往往表面上看起來似乎愚笨。","大巧若拙、大勇若怯、外愚內智、深藏不露、深藏若虛","鋒芒畢露、露才揚己「大智若愚」及「大巧若拙」都有深藏不露的意思。「大智若愚」側重於形容聰明有才華的人；「大巧若拙」側重於形容懷有精湛技藝的人。大智若愚大巧若拙辨似例句○ㄨ小慧看起來呆呆的，讀起書來卻過目不忘，難怪老師說她～。
ㄨ○小張看似笨手笨腳，打起球來卻矯健靈敏，技藝超群，交手過的人無不說他～。",
915,"得不償失","ㄉㄜˊ ㄅㄨˋ ㄔㄡˊ ㄕ","dé bù chóu shī","表示所得不足以抵補所失。","刀頭舔蜜、貪小失大","小往大來、亡羊得牛「得不償失」及「貪小失大」都有得、失不相對等的意思。「得不償失」側重於說明所得不及所失；「貪小失大」側重於因貪求小利而造成巨大損失。得不償失貪小失大辨似例句○ㄨ現代人常為了追求名利而忽略健康，是件～的事。
ㄨ○許多人因為貪圖小利而被騙走了一大筆錢，這種～的例子不勝枚舉。",
118,"得心應手","ㄧㄥˋ ㄕㄡˇ ㄘㄨㄥˊ ㄒㄧㄣ","yìng shǒu cóng xīn","比喻做事順利。","如臂使指、左右逢源","力不從心、心有餘而力不足、心餘力絀",
458,"得寸進尺","ㄉㄜˊ ㄘㄨㄣˋ ㄑㄩˋ ㄔˇ","dé cùn qù chǐ","比喻貪得無厭。","得隴望蜀、貪得無厭","寸進尺退、知足不辱、知足常樂「得隴望蜀」及「得寸進尺」都有貪得無厭的意思。「得隴望蜀」用於得了一樣，還要另一樣的情況下；「得寸進尺」則又可強調不斷索求，永不滿足。得隴望蜀得寸進尺辨似例句○ㄨ人如果慾望無窮，時刻計較，～，生活一定很痛苦。
ㄨ○我就知道你這一讓步，對方一定會～地提出更多的要求。",
477,"當仁不讓","ㄉㄤ ㄖㄣˊ ㄅㄨˋ ㄒㄩㄣˋ （變） ㄉㄤ ㄖㄣˊ ㄅㄨˊ ㄒㄩㄣˋ","dāng rén bù xùn （變） dāng rén bú xùn","遇到應該做的事，主動承擔起來而不推辭。","自告奮勇、義不容辭、義無反顧","推三阻四、置身事外、臨難苟免、躊躇不前「義無反顧」及「當仁不讓」都有對於應做的事積極去做，不推辭的意思。「義無反顧」側重於毫不退縮；「當仁不讓」側重於主動承擔。義無反顧當仁不讓辨似例句○ㄨ為了救亡圖存，他不顧自身安全，～地擔負起這份危險的任務。
ㄨ○小李工作積極認真，對於公司業務，他一向是～，從不推拖。",
489,"雕蟲小技","ㄉㄧㄠ ㄔㄨㄥˊ ㄓㄨㄢˋ ㄎㄜˋ","diāo chóng zhuàn kè","比喻微不足道的技能。","","",
1302,"調虎離山","ㄉㄧㄠˋ ㄏㄨˇ ㄌㄧˊ ㄕㄢ","diào hǔ lí shān","比喻用計誘使對方離開他的據點，以便趁機行事，達成目的。","","",
47,"對牛彈琴","ㄉㄨㄟˋ ㄌㄩˊ ㄊㄢˊ ㄑㄧㄣˊ","duì lǘ tán qín","比喻對不懂道理的人講道理。","語不擇人","",
1148,"滔滔不絕","ㄊㄠ ㄊㄠ ㄅㄨˋ ㄐㄧㄝˊ","tāo tāo bù jié","形容說話連續而不間斷。","","",
899,"逃之夭夭","ㄊㄠˊ ㄓ ㄧㄠ ㄧㄠ","táo zhī yāo yāo","形容逃跑得無影無蹤。","金蟬脫殼、溜之大吉","插翅難飛「金蟬脫殼」及「逃之夭夭」都有逃脫的意思。「金蟬脫殼」特別強調是用計逃脫；「逃之夭夭」則僅有逃脫之義。金蟬脫殼逃之夭夭辨似例句○ㄨ凶手巧使～之計，讓追捕他的人撲了個空。
ㄨ○賭徒一聽到警察來了，馬上抱頭鼠竄，～。",
416,"偷天換日","ㄏㄨㄢˋ ㄖˋ ㄊㄡ ㄊㄧㄢ","huàn rì tōu tiān","比喻騙局之大與技巧之妙。","弄虛作假、魚目混珠、移花接木、偷梁換柱","光明磊落、貨真價實「偷天換日」及「移花接木」都是一種詐騙的方法。「偷天換日」側重於使用騙取的手段改換事物；「移花接木」側重於使用移轉、拼湊的手法改變事物。偷天換日移花接木辨似例句○ㄨ他真有～的本領，竟然能將這麼重要的秘密情報弄到手。
ㄨ○這捲錄影帶被查出是～而成，終於還了劉老師的清白。",
374,"曇花一現","ㄧ ㄒㄧㄢˋ ㄊㄢˊ ㄏㄨㄚ （變） ㄧˊ ㄒㄧㄢˋ ㄊㄢˊ ㄏㄨㄚ","yī xiàn tán huā （變） yí xiàn tán huā","人或事物一出現便迅速消失。","好景不常、浮雲朝露、電光石火、過眼雲煙","千秋萬世、日久天長「曇花一現」及「過眼雲煙」都有事物消逝的意思。「曇花一現」側重於事物的迅速消逝；「過眼雲煙」側重於事物的容易消逝。曇花一現過眼雲煙辨似例句○ㄨ哪知她才露出的笑容就像～般，立即又恢復一臉冰霜。
ㄨ○這些名利、富貴，到頭來不過是～，何必太計較？",
1372,"鐵石心腸","ㄊㄧㄝˇ ㄔㄤˊ ㄕˊ ㄒㄧㄣ","tiě cháng shí xīn","形容人剛強而不為感情所動的秉性。","","菩薩心腸",
